SPARE-1;Spare Part 1;Description for spare part 1;BRAKE;AVAILABLE;40;24;2025-10-03T11:34:45.759381833
SPARE-2;Spare Part 2;Description for spare part 2;RADIATOR;DAMAGED;34;17;2025-10-03T11:34:45.760802792
SPARE-3;Spare Part 3;Description for spare part 3;RADIATOR;OUT_OF_STOCK;6;24;2025-10-03T11:34:45.760828478
SPARE-4;Spare Part 4;Description for spare part 4;GEARBOX;DAMAGED;23;42;2025-10-03T11:34:45.760880045
SPARE-5;Spare Part 5;Description for spare part 5;ENGINE;IN_TRANSIT;37;41;2025-10-03T11:34:45.760895296
SPARE-6;Spare Part 6;Description for spare part 6;BRAKE;IN_TRANSIT;45;33;2025-10-03T11:34:45.760921516
SPARE-7;Spare Part 7;Description for spare part 7;BRAKE;RESERVED;48;4;2025-10-03T11:34:45.760931199
SPARE-8;Spare Part 8;Description for spare part 8;TIRE;DAMAGED;2;23;2025-10-03T11:34:45.760939670
SPARE-9;Spare Part 9;Description for spare part 9;BRAKE;OUT_OF_STOCK;17;45;2025-10-03T11:34:45.760963883
SPARE-10;Spare Part 10;Description for spare part 10;RADIATOR;IN_TRANSIT;1;8;2025-10-03T11:34:45.760980024
SPARE-11;Spare Part 11;Description for spare part 11;ENGINE;AVAILABLE;6;10;2025-10-03T11:34:45.760989047
SPARE-12;Spare Part 12;Description for spare part 12;TIRE;DAMAGED;29;40;2025-10-03T11:34:45.761008124
SPARE-13;Spare Part 13;Description for spare part 13;BATTERY;DAMAGED;32;43;2025-10-03T11:34:45.761022108
SPARE-14;Spare Part 14;Description for spare part 14;GEARBOX;RESERVED;29;47;2025-10-03T11:34:45.761030934
SPARE-15;Spare Part 15;Description for spare part 15;GEARBOX;IN_TRANSIT;24;30;2025-10-03T11:34:45.761039291
SPARE-16;Spare Part 16;Description for spare part 16;BRAKE;AVAILABLE;42;19;2025-10-03T11:34:45.761064512
SPARE-17;Spare Part 17;Description for spare part 17;RADIATOR;RESERVED;3;21;2025-10-03T11:34:45.761076776
SPARE-18;Spare Part 18;Description for spare part 18;RADIATOR;IN_TRANSIT;13;28;2025-10-03T11:34:45.761085356
